11	7	1
153	2	-7
977	4	-20
949	8	-13
25	7	-9
955	4	8
370	6	-13
831	5	-3
536	7	13
14	4	-14
740	7	-5
474	7	-4
356	3	7
737	9	-14
739	10	-7
467	6	-8
115	5	5
31	6	-7
722	10	-10
209	1	-3
640	6	-13
699	9	-18
800	5	-10
412	6	6
507	5	-14
301	3	-18
654	10	7
397	3	10
526	7	11
631	5	18
617	3	-17
941	10	14
154	3	2
888	3	-15
261	6	-16
462	8	12
357	5	-16
921	6	-17
792	5	-20
392	5	16
455	8	-11
817	3	4
252	9	-10
527	5	-16
925	5	6
849	4	17
874	3	-17
299	2	4
17	10	5
685	4	-3
768	1	-9
668	8	-11
711	6	9
580	8	-4
643	3	1
106	1	-7
344	5	12
483	5	-9
600	10	17
923	8	18
500	2	-9
970	3	5
239	5	13
327	9	-9
943	2	-6
264	3	5
981	5	-13
784	1	-5
646	8	18
565	7	-17
723	4	-10
235	7	0
990	8	-6
76	2	11
994	8	11
625	10	-8
577	4	2
603	8	10
225	4	-10
871	10	3
189	8	1
422	2	5
939	4	7
898	10	15
297	2	7
400	10	-2
423	5	-11
680	1	-15
107	2	-2
734	2	-18
582	7	-8
21	9	17
473	7	10
435	1	-9
516	7	10
113	4	13
7	6	-5
185	5	-2
246	10	-8
644	2	-3
968	7	-13
493	6	18
466	7	-3
323	6	-1
665	3	15
326	8	-17
861	5	-14
15	5	4
290	10	-20
503	5	8
678	2	9
964	7	12
940	7	-6
750	5	-20
827	6	14
312	3	6
340	5	13
465	6	5
345	5	-1
91	3	5
250	9	12
554	9	-1
748	5	-6
797	10	18
253	7	-5
512	2	18
453	9	9
93	4	10
274	9	-12
304	3	-1
812	8	5
111	4	6
807	4	-8
373	1	11
863	9	13
258	1	-3
900	9	9
23	5	-15
129	1	-6
857	7	17
49	9	7
624	6	-4
215	9	-19
520	10	-19
928	5	-18
912	7	-8
80	4	16
658	7	13
251	9	17
522	2	-12
322	8	19
180	10	0
190	2	-8
193	1	11
583	4	2
468	5	-10
515	5	-16
528	4	8
634	9	-11
390	5	-5
457	3	-19
789	3	-8
591	10	0
796	8	-2
469	6	-20
364	9	-9
969	10	19
210	5	16
165	6	-1
702	7	7
967	5	-19
543	1	15
873	3	-12
131	3	16
139	9	-19
962	9	-16
271	1	-2
85	7	-13
909	7	2
432	2	19
458	6	1
343	5	13
137	1	7
697	8	-20
243	4	19
66	3	6
427	1	-4
55	3	11
182	6	10
758	6	17
156	3	-5
381	7	-5
780	4	-14
302	10	4
675	4	-12
463	4	8
358	1	14
519	10	-17
78	3	5
192	5	3
922	4	8
537	3	-10
172	8	-9
382	10	-20
60	2	-14
855	8	-4
35	7	-16
242	7	17
973	6	-7
488	7	2
167	6	-1
614	8	-15
238	7	-19
518	4	-2
510	6	-9
820	9	-6
228	9	5
77	6	-19
319	5	-12
379	3	-3
478	3	6
676	5	10
359	7	16
64	4	-3
40	1	-16
825	8	-2
915	4	0
963	5	12
719	7	-20
660	6	19
43	8	5
45	1	10
342	3	-6
385	9	-19
142	8	19
666	9	11
58	9	1
456	2	1
684	9	-11
489	4	-3
10	7	10
822	1	6
683	4	-7
334	10	12
592	6	12
213	7	-12
308	10	-9
620	2	3
363	9	-1
929	8	-20
282	10	3
150	9	-20
481	8	-6
476	8	-8
313	5	1
99	5	8
642	3	-12
152	4	-5
602	4	-16
203	6	3
841	6	-5
174	9	-5
384	2	11
496	4	17
97	3	-2
648	8	2
732	2	-20
248	2	-6
972	6	-7
630	4	-10
320	2	-11
13	8	5
626	3	-1
896	6	13
121	7	15
38	5	17
413	3	4
864	1	17
280	8	-18
471	5	6
621	4	-19
615	10	-17
157	3	-8
163	9	8
976	7	5
707	4	-15
75	3	8
982	9	-18
754	3	-18
218	7	-1
257	1	-17
880	3	8
207	10	3
868	5	2
755	7	13
263	7	0
325	2	13
662	8	5
499	9	8
638	8	11
913	9	-20
749	5	-2
109	6	13
763	6	-16
204	6	-16
588	4	7
335	10	18
836	10	-10
706	1	4
597	5	3
430	10	1
460	4	-8
555	2	3
389	9	-10
19	8	8
639	10	-13
133	2	-18
272	3	-16
721	9	11
247	3	-16
321	4	-18
727	1	-13
39	10	2
485	10	-20
411	6	11
578	9	9
971	6	15
402	7	3
862	2	0
256	7	2
51	7	16
505	8	1
987	7	-19
717	7	-15
361	1	5
337	1	-20
436	9	1
170	7	9
937	5	13
295	6	2
872	2	17
450	4	-8
136	4	-11
65	1	19
477	3	-5
84	10	8
305	7	-17
956	6	3
901	2	-9
924	3	-2
786	1	9
212	7	4
421	5	-15
934	8	-1
568	8	6
950	9	-3
349	9	19
548	9	-14
561	8	10
219	4	-1
533	9	-2
704	10	3
890	7	-5
547	1	-1
351	10	-18
211	5	6
441	6	-20
997	9	9
409	8	17
904	9	15
935	3	-5
910	8	11
696	8	16
266	5	-1
53	4	19
365	7	-3
275	3	5
307	9	19
860	7	-5
268	7	9
551	10	4
96	5	1
273	2	-15
73	6	12
858	8	11
224	10	-12
616	6	19
887	8	13
892	5	-17
566	8	5
331	4	1
802	10	9
433	4	-10
352	6	9
339	7	1
405	9	18
628	6	9
159	5	4
799	5	14
521	5	-12
371	8	8
957	8	3
552	1	15
715	5	16
495	1	7
201	2	13
958	8	8
200	7	-3
267	6	13
998	1	-3
954	3	-2
562	6	-13
237	5	-3
581	9	1
70	1	6
216	3	-10
720	2	-5
255	6	11
604	7	2
756	9	-1
355	1	17
22	4	9
664	6	10
429	10	-16
622	1	-7
759	1	12
418	4	7
627	9	7
406	3	2
229	8	10
56	8	10
316	3	-12
961	7	-12
944	9	-15
374	3	-10
386	6	-15
59	8	-18
208	7	1
28	5	9
234	5	-3
490	8	6
27	3	-16
417	3	-5
842	5	-4
244	5	18
314	3	-14
284	5	-8
223	2	-11
396	5	0
448	3	-11
995	1	9
619	5	-16
68	5	10
350	7	5
560	6	14
984	10	5
281	9	-10
808	4	-20
408	1	18
674	5	0
177	2	17
166	7	-9
394	4	-17
