41	4	13
8	9	15
99	8	5
59	6	-6
86	3	19
78	6	8
9	3	7
82	8	11
69	9	-7
65	8	-13
35	2	6
92	7	-12
62	10	1
17	5	10
52	4	3
66	3	11
2	8	9
11	1	-20
81	10	16
83	1	-3
23	3	3
40	8	2
39	9	-17
73	2	-1
30	6	-14
55	5	-11
98	7	17
13	5	-10
31	10	19
54	3	16
97	2	4
94	6	9
24	1	18
38	9	6
15	4	-13
34	6	2
20	4	-16
67	6	-5
58	6	-13
87	4	-13
84	5	-10
33	7	-11
60	1	-5
95	5	-1
75	6	4
80	5	-8
93	3	3
64	3	-5
72	1	16
96	5	17
88	3	-20
44	9	-6
85	1	-18
56	7	-19
7	7	8
10	4	1
3	7	10
63	5	18
6	3	-19
43	3	-14
29	1	-15
5	8	9
25	7	-8
71	6	10
50	9	19
76	5	18
27	9	13
37	3	10
16	10	-11
79	2	10
100	7	10
18	3	-7
53	3	4
68	5	-3
28	7	6
14	9	-4
12	7	-18
61	5	-5
19	3	-6
77	3	4
45	3	-6
57	3	-20
48	4	-15
90	2	8
51	7	-18
70	3	18
89	7	13
49	4	-11
22	2	-4
47	3	11
46	8	-5
1	4	15
42	10	-15
91	5	-3
26	2	17
74	5	-10
4	5	-16
21	6	-13
36	9	7
32	5	-10
